id,name,country,region_fullname,winary_fullname,url,bottle_url
74338,Old Vine Malbec,Argentina,Uco Valley,Luca,https://www.vivino.com/US-CA/en/old-vine-malbec-valle-de-uco/w/74338,https://images.vivino.com/thumbs/SewGPj3WQXmHJjyFI2JgoA_pb_x600.png
6437146,Icono Limited Edition Blend,Argentina,Mendoza,Mi Terruño,https://www.vivino.com/US-CA/en/icono-limited-edition-blend/w/6437146,https://images.vivino.com/thumbs/irntqMDCTJexVH5V69bT8A_pb_x600.png
1216549,Pequeñas Producciones Malbec,Argentina,Mendoza,Escorihuela Gascón,https://www.vivino.com/US-CA/en/pequenas-producciones-malbec/w/1216549,https://images.vivino.com/thumbs/o_Q1oOPATeeHU7x3CzN0kw_pb_x600.png
1870,Malbec,Argentina,Mendoza,Catena Alta,https://www.vivino.com/US-CA/en/malbec/w/1870,https://images.vivino.com/thumbs/sEcsaCEwQB6snXQXT42C8g_pb_x600.png
1100670,Caro,Argentina,Mendoza,Caro (Catena and Rothschild),https://www.vivino.com/US-CA/en/caro/w/1100670,https://images.vivino.com/thumbs/M4Uo4rMRQeGTWraXjdyt9Q_pb_x600.png
1136930,Grange,Australia,South Australia,Penfolds,https://www.vivino.com/US-CA/en/grange/w/1136930,https://images.vivino.com/thumbs/hRl7EuOORIuIM6JxYyxgBA_pb_x600.png
11830,RunRig,Australia,Barossa Valley,Torbreck,https://www.vivino.com/US-CA/en/runrig/w/11830,https://images.vivino.com/thumbs/RFRKTQIMQreQQEfv4pXFmg_pb_x600.png
1381424,Velvet Glove Shiraz,Australia,McLaren Vale,Mollydooker,https://www.vivino.com/US-CA/en/velvet-glove-shiraz/w/1381424,https://images.vivino.com/thumbs/Fe-oTc4BSPm2c2Cv9bjcIg_pb_x600.png
1238266,The Freedom 1843 Shiraz,Australia,Barossa,Langmeil,https://www.vivino.com/US-CA/en/the-freedom-1843-shiraz/w/1238266,https://images.vivino.com/thumbs/_ZkZKktEQQi8P6nY5Yo4nw_pb_x600.png
94591,Roennfeldt Road Shiraz,Australia,Barossa Valley,Greenock Creek,https://www.vivino.com/US-CA/en/roennfeldt-road-shiraz/w/94591,https://images.vivino.com/thumbs/oFm-zJx9TSmu7AuB-pbmug_pb_x600.png
1265,RWT Shiraz,Australia,Barossa Valley,Penfolds,https://www.vivino.com/US-CA/en/rwt-shiraz/w/1265,https://images.vivino.com/thumbs/dDyTwzIfQC68MCUgjmYWpw_pb_x600.png
1264,Bin 707 Cabernet Sauvignon,Australia,South Australia,Penfolds,https://www.vivino.com/US-CA/en/bin-707-cabernet-sauvignon/w/1264,https://images.vivino.com/thumbs/xJJg5yv0ShWAmp7_-1J5BA_pb_x600.png
1677583,Art Series Chardonnay,Australia,Margaret River,Leeuwin Estate,https://www.vivino.com/US-CA/en/art-series-chardonnay/w/1677583,https://images.vivino.com/thumbs/jOpwJIoSRwWz7z4G_la6nw_pb_x600.png
13561,Cyril Henschke,Australia,Mount Lofty Ranges,Henschke,https://www.vivino.com/US-CA/en/cyril-henschke/w/13561,https://images.vivino.com/thumbs/a1Cbv9IRTsmW6DgVdB2RDw_pb_x600.png
1389642,Bin 620 Cabernet - Shiraz,Australia,Coonawarra,Penfolds,https://www.vivino.com/US-CA/en/bin-620-cabernet-shiraz/w/1389642,https://images.vivino.com/thumbs/8A6e5efnQP68GGjsQ8r-3w_pb_x600.png
1160689,Amon-Ra Shiraz,Australia,Barossa Valley,Glaetzer,https://www.vivino.com/US-CA/en/amon-ra-shiraz/w/1160689,https://images.vivino.com/thumbs/ebUX9bvyR7GHnGIsWV27Qw_pb_x600.png
2363901,Mount Edelstone,Australia,Eden Valley,Henschke,https://www.vivino.com/US-CA/en/mount-edelstone/w/2363901,https://images.vivino.com/thumbs/vm7naYaWT6G-FTLonZP9xw_pb_x600.png
